Time (s),RMS Current (A),Peak Current (A),Min Current (A)
0.171692,0.038798,0.007852,-0.043199
0.171707,0.038798,0.007852,-0.043199
0.171721,0.056115,0.109954,0.007852
0.171736,0.098409,0.109954,0.007852
0.171750,0.089220,0.109954,0.007852
0.171764,0.053181,0.058903,-0.043199
0.171778,0.074529,0.109954,0.007852
0.171793,0.072067,0.109954,0.058903
0.189029,0.124813,0.212056,0.007852
0.189048,0.070380,0.058903,-0.145302
0.189064,0.049672,0.058903,-0.043199
0.189078,0.027262,0.058903,0.007852
0.189093,0.059582,0.109954,-0.043199
0.189107,0.050475,0.007852,-0.094251
0.189122,0.183145,0.058903,-0.400557
0.189137,0.057180,-0.043199,-0.094251
0.189151,0.050475,0.007852,-0.094251
0.189166,0.053932,0.007852,-0.094251
0.189180,0.043199,-0.043199,-0.043199
0.189194,0.033829,0.007852,-0.043199
0.189209,0.079477,0.161005,-0.043199
0.189224,0.046764,0.007852,-0.094251
0.189238,0.043199,-0.043199,-0.043199
0.189252,0.056472,0.109954,-0.043199
0.189267,0.038798,0.007852,-0.043199
0.189282,0.057180,-0.043199,-0.094251
0.189296,0.038798,0.007852,-0.043199
0.189310,0.033829,0.007852,-0.043199
0.190660,0.038798,0.007852,-0.043199
0.190678,0.059919,0.058903,-0.094251
0.190694,0.149919,0.007852,-0.247404
0.190709,0.117367,-0.094251,-0.145302
0.190723,0.241665,-0.145302,-0.349506
0.190738,0.112660,0.058903,-0.145302
0.190753,0.127203,0.007852,-0.196353
0.190768,0.140389,-0.094251,-0.196353
0.190783,0.135299,-0.043199,-0.196353
0.190797,0.167479,-0.043199,-0.298455
0.190812,0.156847,-0.145302,-0.196353
0.190827,0.117367,-0.094251,-0.145302
0.190841,0.086486,-0.043199,-0.094251
0.190856,0.092316,-0.043199,-0.145302
0.190871,0.053932,0.007852,-0.094251
0.190886,0.099628,-0.043199,-0.145302
0.190901,0.057180,-0.043199,-0.094251
0.190915,0.038798,0.007852,-0.043199
0.190930,0.038276,0.058903,-0.043199
0.190945,0.084373,-0.043199,-0.145302
0.192291,0.053932,0.007852,-0.094251
0.192309,0.038798,0.007852,-0.043199
0.192324,0.086253,0.058903,-0.145302
0.192339,0.057180,-0.043199,-0.094251
0.192354,0.038276,0.058903,-0.043199
0.192369,0.042731,0.058903,-0.043199
0.192384,0.038798,0.007852,-0.043199
0.192399,0.033829,0.007852,-0.043199
0.192414,0.065666,0.007852,-0.094251
0.192428,0.068359,-0.043199,-0.094251
0.192443,0.068064,0.058903,-0.094251
0.192457,0.109041,0.212056,-0.094251
0.192472,0.183254,-0.043199,-0.400557
0.192487,0.042731,0.058903,-0.043199
0.192501,0.053932,0.007852,-0.094251
0.192515,0.042731,0.058903,-0.043199
0.192531,0.038798,0.007852,-0.043199
0.192545,0.057180,-0.043199,-0.094251
0.192559,0.102207,0.212056,-0.043199
0.192574,0.136622,0.161005,0.058903
0.193929,0.119058,0.161005,0.058903
0.193948,0.052801,0.058903,0.007852
0.193963,0.092961,0.109954,0.058903
0.193978,0.046332,0.058903,-0.043199
0.193993,0.067172,0.109954,0.007852
0.194008,0.089670,0.109954,-0.145302
0.194022,0.068064,0.007852,-0.145302
0.194037,0.064741,0.109954,-0.043199
0.194052,0.033829,0.007852,-0.043199
0.194066,0.068064,0.007852,-0.145302
0.194080,0.182267,0.007852,-0.400557
0.194095,0.053932,0.007852,-0.094251
0.194109,0.038798,0.007852,-0.043199
0.194124,0.046764,0.058903,-0.043199
0.194138,0.053932,0.007852,-0.094251
0.194153,0.053932,0.007852,-0.094251
0.194167,0.038798,0.007852,-0.043199
0.194181,0.128614,-0.043199,-0.247404
0.194196,0.027990,0.007852,-0.043199
0.194210,0.053932,0.007852,-0.094251
0.209918,0.098817,0.212056,-0.043199
0.209938,0.038798,0.007852,-0.043199
0.209953,0.043199,-0.043199,-0.043199
0.209967,0.123037,-0.043199,-0.247404
0.209982,0.042731,0.058903,-0.043199
0.209997,0.033829,0.007852,-0.043199
0.210011,0.128614,-0.043199,-0.196353
0.210026,0.136626,-0.094251,-0.145302
0.210041,0.135299,-0.043199,-0.196353
0.210056,0.152307,-0.094251,-0.196353
0.210070,0.142796,-0.043199,-0.196353
0.210085,0.125936,-0.043199,-0.196353
0.210099,0.127361,-0.094251,-0.145302
0.210114,0.148711,-0.043199,-0.298455
0.210128,0.136626,-0.094251,-0.145302
0.210143,0.099628,-0.043199,-0.145302
0.210157,0.106438,-0.094251,-0.145302
0.210171,0.139098,-0.094251,-0.247404
0.210185,0.065666,0.007852,-0.094251
0.210200,0.084373,0.007852,-0.094251
0.211551,0.084373,-0.043199,-0.145302
0.211570,0.053932,0.007852,-0.094251
0.211586,0.042731,0.058903,-0.043199
0.211601,0.065666,0.007852,-0.094251
0.211615,0.057180,-0.043199,-0.094251
0.211630,0.137649,0.007852,-0.298455
0.211645,0.053932,0.007852,-0.094251
0.211660,0.043199,-0.043199,-0.043199
0.211675,0.046764,0.058903,-0.043199
0.211690,0.095937,-0.043199,-0.196353
0.211705,0.042731,0.058903,-0.043199
0.211720,0.033829,0.007852,-0.043199
0.211734,0.043199,-0.043199,-0.043199
0.211749,0.043199,-0.043199,-0.043199
0.211763,0.053932,0.007852,-0.094251
0.211778,0.053932,0.007852,-0.094251
0.211792,0.043199,-0.043199,-0.043199
0.211807,0.043199,-0.043199,-0.043199
0.211821,0.038798,0.007852,-0.043199
0.211835,0.038798,0.007852,-0.043199
0.213177,0.053932,0.007852,-0.094251
0.213196,0.038798,0.007852,-0.043199
0.213257,0.062215,0.109954,-0.043199
0.213274,0.149915,0.212056,0.058903
0.213289,0.114597,0.161005,0.058903
0.213304,0.074529,0.109954,0.007852
0.213318,0.114597,0.161005,0.058903
0.213333,0.083173,0.109954,0.058903
0.213347,0.037747,0.058903,0.007852
0.213362,0.064741,0.109954,-0.043199
